path,subject,session,task,acq
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G1\B\Backup of Box 03 2023-07-10 14.14 Subject #043921_Angelina.txt,angelina,rev.01,rev,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G1\B\Backup of Box 04 2023-07-10 14.20 Subject #043922_Gadget.txt,gadget,rev.01,rev,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G2\A\Backup of Box 01 2023-07-10 15.15 Subject #043961_Mickey.txt,mickey,rev.01,rev,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G2\A\Backup of Box 02 2023-07-10 15.17 Subject #043962_Speedy.txt,speedy,rev.01,rev,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G2\A\Backup of Box 03 2023-07-10 15.14 Subject #043958_Jerry.txt,jerry,rev.01,rev,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G2\A\Backup of Box 04 2023-07-10 15.15 Subject #043959_Itchy.txt,itchy,rev.01,rev,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G2\B\Backup of Box 01 2023-07-10 15.26 Subject #043961_Mickey.txt,mickey,rev.01,rev,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G2\B\Backup of Box 02 2023-07-10 15.26 Subject #043962_Speedy.txt,speedy,rev.01,rev,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G2\B\Backup of Box 03 2023-07-10 15.27 Subject #043958_Jerry.txt,jerry,rev.01,rev,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G2\B\Backup of Box 04 2023-07-10 15.24 Subject #043959_Itchy.txt,itchy,rev.01,rev,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G3\A\Backup of Box 01 2023-07-10 16.26 Subject #043960_Remy.txt,remy,rev.01,rev,A
